,CAT#,ORDER#,ARTICLE,SECTION,DOCUMENT,CATEGORY,TOPIC,tokens,Text_Rep,clusters,colors,X_tsne,Y_tsne,text,color_original
0,1,1,1,1,1,1,Description,"['topic', 'description', 'university', 'carlos', 'catholic', 'educational', 'institution', 'administered', 'since', 'society', 'divine', 'word', 'missionary', 'university', 'since', 'offer', 'complete', 'educational', 'package', 'from', 'kindergarten', 'including', 'montessori', 'academy', 'graduate', 'school', 'learn', 'more', 'about', 'education', 'with', 'mission', 'become', 'witness', 'word', 'also', 'referred', 'here', 'university', 'rapid', 'growth', 'saturated', 'campus', 'near', 'city', 'center', 'prompting', 'expansion', 'university', 'what', 'then', 'called', 'boysâ', 'high', 'school', 'north', 'campus', 'teacher', 'education', 'center', 'girlsâ', 'high', 'school', 'south', 'campus', 'talamban', 'campus', 'erstwhile', 'formation', 'center', 'transformed', 'into', 'montessori', 'campus', 'currently', 'university', 'five', 'campus', 'university', 'most', 'respected', 'higher', 'education', 'institution', 'philippine', 'program', 'offered', 'have', 'received', 'either', 'level', 'level', 'accreditation', 'from', 'federation', 'accrediting', 'association', 'philippine', 'faap', 'evaluated', 'philippine', 'accrediting', 'association', 'school', 'college', 'university', 'paascu', 'seven', 'engineering', 'program', 'also', 'accredited', 'philippine', 'technological', 'council', 'accreditation', 'certification', 'board', 'engineering', 'technology', 'acbet', 'philippine', 'commission', 'higher', 'education', 'ched', 'also', 'granted', 'autonomous', 'status', 'university', 'designated', 'eight', 'center', 'excellence', 'coes', 'twelve', 'center', 'development', 'cod', 'ranked', 'between', 'university', 'ranking', 'asia', 'number', 'among', 'best', 'university', 'philippine', 'edurank', 'latter', 'ranking', 'based', 'research', 'output', 'academic', 'prominence', 'academic', 'performance', 'alumnus', 'influence', 'among', 'five', 'university', 'philippine', 'that', 'have', 'been', 'included', 'world', 'ranking', 'united', 'kingdom', 'based', 'quacquarelli', 'symonds', 'under', 'bracket', 'recognized', 'research', 'southern', 'philippine', 'drawn', 'external', 'grant', 'amounting', 'php298m', 'usd5', 'between', 'including', 'pandemic', 'affected', 'year', 'internal', 'research', 'grant', 'over', 'php11m', 'have', 'also', 'been', 'awarded', 'from', 'internal', 'funding', 'within', 'same', 'time', 'period', 'research', 'effort', 'supported', 'print', 'collection', 'over', 'title', 'almost', 'print', 'volume', 'housed', 'universityâ', 'library', 'system', 'along', 'with', 'subscription', 'science', 'science', 'direct', 'also', 'publishes', 'three', 'scholarly', 'journal', 'philippine', 'scientist', 'philippine', 'quarterly', 'culture', 'society', 'devotio', 'journal', 'business', 'economic', 'study', 'additional', 'support', 'researcher', 'available', 'through', 'office', 'committee', 'providing', 'ethic', 'review', 'intellectual', 'property', 'innovation', 'technology', 'support', 'animal', 'care', 'nineteen', 'patent', 'have', 'been', 'filed', 'university', 'since', 'start', 'company', 'green', 'enviro', 'management', 'system', 'gem', 'been', 'established', 'student', 'support', 'university', 'includes', 'international', 'studentsâ', 'office', 'online', 'enrolment', 'dormitory', 'numerous', 'cafe', 'canteen', 'transport', 'system', 'within', 'talamban', 'campus', 'more', 'than', 'undergraduate', 'graduate', 'scholar', 'given', 'time', 'since', 'been', 'designated', 'donee', 'institution', 'philippine', 'council', 'governmental', 'organization', 'certification', 'pcnc', 'university_carlos', 'witness_word', 'high_school', 'high_school', 'talamban_campus', 'higher_education', 'higher_education', 'talamban_campus', 'more_than', 'university_carlos', 'society_divine', 'witness_word', 'talamban_campus', 'higher_education', 'higher_education', 'have_been', 'have_been', 'management_system', 'talamban_campus', 'more_than', 'university_carlos', 'witness_word', 'high_school', 'high_school', 'talamban_campus', 'higher_education', 'higher_education', 'talamban_campus', 'more_than']",philippine ranking center campus,3,red,14.230335,-0.36870858,"1: Description

University of San Carlos (USC) is a Catholic",green
1,2,2,1,2,1,1,"Catholic Identity, Vision Mission and Core Values","['topic', 'catholic', 'identity', 'vision', 'mission', 'core', 'value', 'university', 'catholic', 'identity', 'embodied', 'statement', 'education', 'with', 'mission', 'witness', 'word', 'aim', 'holistic', 'formation', 'individual', 'that', 'enlightens', 'mind', 'hone', 'skill', 'positively', 'transforms', 'character', 'behavior', 'from', 'dialogue', 'with', 'word', 'education', 'ministry', 'mission', 'dialogue', '103â', 'every', 'carolinian', 'becomes', 'catalyst', 'towardsthe', 'realization', 'kingdom', 'promoting', 'truth', 'love', 'justice', 'freedom', 'peace', 'grace', 'carolinian', 'society', 'have', 'sense', 'mission', 'recognizable', 'their', 'contribution', 'light', 'salt', 'yeast', 'gospel', 'graduate', 'professionally', 'competent', 'skilled', 'scientia', 'have', 'noble', 'character', 'value', 'driven', 'virtu', 'dedicated', 'social', 'transformation', 'devotio', 'vision', 'university', 'carlos', 'see', 'world', 'where', 'darkness', 'night', 'unbelief', 'vanish', 'before', 'light', 'word', 'spirit', 'grace', 'society', 'where', 'citizen', 'competent', 'noble', 'character', 'community', 'oriented', 'what', 'they', 'know', 'they', 'apply', 'justly', 'honestly', 'what', 'they', 'know', 'they', 'seek', 'learn', 'what', 'they', 'have', 'they', 'endeavor', 'acquire', 'what', 'they', 'have', 'they', 'share', 'mission', 'university', 'carlos', 'catholic', 'institution', 'learning', 'that', 'embodies', 'principle', 'academic', 'discipline', 'carlos', 'borromeo', 'missionary', 'charism', 'society', 'divine', 'word', 'aim', 'develop', 'competent', 'socially', 'responsible', 'professional', 'lifelong', 'learner', 'environment', 'that', 'foster', 'excellence', 'academic', 'core', 'process', 'teaching', 'learning', 'research', 'community', 'extension', 'service', 'mission', 'provide', 'timely', 'relevant', 'transformative', 'academic', 'program', 'responsive', 'need', 'local', 'national', 'global', 'community', 'rapidly', 'changing', 'world', 'core', 'value', 'university', 'core', 'value', 'integrity', 'excellence', 'commitment', 'social', 'responsibility', 'evangelization', 'leadership', 'defined', 'follows', 'integrity', 'carolinian', 'shall', 'reflect', 'their', 'personal', 'professional', 'life', 'ideal', 'catholic', 'university', 'academic', 'community', 'which', 'rigorous', 'critical', 'fashion', 'assist', 'protection', 'advancement', 'human', 'dignity', 'cultural', 'heritage', 'through', 'research', 'teaching', 'extension', 'service', 'local', 'national', 'international', 'community', 'apostolic', 'exhortation', 'conde', 'ecclesiae', 'excellence', 'carolinian', 'shall', 'constantly', 'strive', 'attain', 'highest', 'standard', 'their', 'respective', 'field', 'commitment', 'carolinian', 'shall', 'bear', 'mind', 'that', 'ultimate', 'goal', 'university', 'transformation', 'community', 'especially', 'visayas', 'mindanao', 'through', 'provision', 'quality', 'basic', 'higher', 'education', 'social', 'responsibility', 'carolinian', 'shall', 'strive', 'provide', 'themselves', 'student', 'understanding', 'effective', 'tool', 'addressing', 'prevailing', 'social', 'reality', 'country', 'possible', 'they', 'shall', 'volunteer', 'their', 'expertise', 'contribute', 'effective', 'social', 'civic', 'program', 'local', 'community', 'through', 'initiative', 'organized', 'themselves', 'their', 'respective', 'department', 'relevant', 'external', 'organization', 'evangelization', 'carolinian', 'shall', 'seek', 'understand', 'value', 'more', 'local', 'culture', 'enrich', 'them', 'through', 'gospel', 'value', 'teaching', 'church', 'privileged', 'manner', 'they', 'shall', 'solidarity', 'with', 'philippine', 'southern', 'province', 'society', 'divine', 'word', 'support', 'missionary', 'apostolate', 'visayas', 'mindanao', 'leadership', 'carolinian', 'only', 'position', 'authority', 'also', 'their', 'personal', 'capacity', 'shall', 'strive', 'condition', 'reflection', 'learning', 'their', 'respective', 'educational', 'task', 'both', 'their', 'department', 'local', 'community', 'foster', 'norm', 'behavior', 'befitting', 'witness', 'word', 'exhibit', 'these', 'norm', 'their', 'life', 'witness_word', 'university_carlos', 'university_carlos', 'community_extension', 'higher_education', 'witness_word', 'core_value', 'witness_word', 'university_carlos', 'university_carlos', 'society_divine', 'community_extension', 'core_value', 'core_value', 'their_respective', 'higher_education', 'their_respective', 'society_divine', 'their_respective', 'witness_word', 'witness_word', 'university_carlos', 'university_carlos', 'community_extension', 'higher_education', 'witness_word']",community society local value,2,yellow,19.542536,-1.9461907,"2: Catholic Identity, Vision, Mission, and Core Values

The University's",green
2,3,3,1,3,1,1,The University Seal,"['topic', 'university', 'seal', 'university', 'seal', 'official', 'insignia', 'university', 'carlos', 'depicts', 'shield', 'either', 'side', 'seven', 'laurel', 'leaf', 'laurel', 'leaf', 'stand', 'excellence', 'each', 'symbolizes', 'gift', 'holy', 'spirit', 'wisdom', 'understanding', 'counsel', 'fortitude', 'knowledge', 'piety', 'fear', 'lord', 'shield', 'divided', 'into', 'three', 'part', 'upper', 'left', 'shield', 'globe', 'encircled', 'topped', 'cross', 'this', 'symbol', 'world', 'upper', 'right', 'part', 'shield', 'magellanâ', 'cross', 'which', 'symbolizes', 'cebu', 'city', 'where', 'located', 'bottom', 'half', 'shield', 'open', 'book', 'which', 'symbolizes', 'knowledge', 'education', 'word', 'above', 'book', 'three', 'start', 'that', 'represent', 'three', 'major', 'island', 'group', 'philippine', 'luzon', 'visayas', 'mindanao', 'university_carlos', 'university_carlos', 'university_carlos']",seal knowledge cross topic university,3,red,13.802202,-0.34354413,"3: The University Seal

The University seal is the official",green
3,4,4,1,4,1,1,History,"['topic', 'history', 'university', 'carlos', 'administered', 'divine', 'word', 'missionary', 'university', 'with', 'very', 'long', 'history', 'that', 'parallel', 'growth', 'development', 'cebu', 'central', 'philippine', 'university', 'carlos', 'historically', 'linked', 'small', 'colegio', 'established', 'honor', 'ildefonso', 'jesuit', 'priest', 'antonio', 'sedeã', 'alonso', 'humanes', 'mateo', 'sanchez', 'brother', 'gaspar', 'garay', 'august', 'colegio', 'ildefonso', 'closed', 'because', 'papal', 'expulsion', 'jesuit', 'from', 'spain', 'spanish', 'possession', 'year', 'later', 'ownership', 'colegio', 'propertieswas', 'transferred', 'bishop', 'cebu', 'msgr', 'rubio', 'arevalo', 'hepaved', 'establishment', 'real', 'seminario', 'carlos', 'manned', 'secular', 'priest', 'following', 'decision', 'bishop', 'cebu', 'msgr', 'romualdo', 'jimeno', 'dominican', 'took', 'over', 'regent', 'dominican', 'priest', 'renamed', 'school', 'seminario', 'conciliar', 'carlos', 'when', 'vincentians', 'took', 'over', 'school', 'offered', 'class', 'intern', 'seminarian', 'extern', 'seminarian', 'accommodate', 'local', 'residentsâ', 'petition', 'thus', 'became', 'seminario', 'colegio', 'carlos', 'seminario', 'colegio', 'carlos', 'conferred', 'bachelorâ', 'degree', 'first', 'graduate', 'among', 'them', 'sergio', 'osmeã', 'later', 'fourth', 'president', 'philippine', 'from', 'outbreak', 'filipino', 'revolution', 'against', 'spain', 'school', 'closed', 'later', 'opened', 'when', 'american', 'rule', 'began', 'school', 'incorporated', 'colegio', 'carlos', 'under', 'rector', 'jacinto', 'villalain', 'school', 'separated', 'from', 'seminary', 'although', 'operated', 'same', 'campus', 'along', 'calle', 'martires', 'cuenco', 'avenue', 'colegio', 'carlos', 'transferred', 'present', 'site', 'along', 'rosario', 'street', 'colegio', 'carlos', 'placed', 'under', 'german', 'religious', 'order', 'societas', 'verbi', 'divini', 'between', 'priest', 'brother', 'changed', 'colegio', 'carlos', 'into', 'truly', 'secular', 'college', 'with', 'addition', 'college', 'aside', 'from', 'existing', 'college', 'liberal', 'art', 'commerce', 'college', 'education', 'followed', 'college', 'engineering', 'colegio', 'would', 'have', 'been', 'university', 'were', 'world', 'instead', 'brought', 'colegio', 'knee', 'leaving', 'building', 'ruin', 'with', 'many', 'priest', 'killed', 'liberation', 'undaunted', 'colegio', 'opened', 'june', 'father', 'josef', 'jaschik', 'father', 'ernest', 'hoerdemann', 'father', 'arthur', 'dingman', 'first', 'rector', 'returned', 'appointed', 'father', 'hoerdemann', 'oversee', 'year', 'reconstruction', 'plan', 'college', 'pharmacy', 'added', 'july', 'colegio', 'granted', 'university', 'status', 'government', 'university', 'carlos', 'became', 'university', 'real', 'sense', 'word', 'with', 'steady', 'trickle', 'priest', 'scholar', 'left', 'catholic', 'university', 'beijing', 'china', 'communist', 'take', 'over', 'their', 'research', 'activity', 'field', 'biology', 'chemistry', 'physic', 'mathematics', 'anthropology', 'archaeology', 'raised', 'status', 'university', 'research', 'institution', 'campus', 'boy', 'opened', 'along', 'maxilom', 'avenue', 'presently', 'north', 'campus', 'another', 'campus', 'grade', 'school', 'boy', 'girl', 'high', 'school', 'girl', 'teacher', 'also', 'inaugurated', 'alcantara', 'street', 'called', 'south', 'campus', 'university', 'became', 'eleven', 'charter', 'member', 'philippine', 'accrediting', 'association', 'school', 'college', 'university', 'paascu', 'after', 'being', 'judged', 'worthy', 'accreditation', 'separate', 'committee', 'formed', 'catholic', 'educational', 'association', 'philippine', 'ceap', 'with', 'foresight', 'university', 'administrator', 'opened', 'another', 'campus', 'talamban', 'with', 'construction', 'first', 'only', 'coconut', 'chemical', 'plant', 'country', 'joint', 'project', 'german', 'philippine', 'government', 'talamban', 'campus', 'home', 'college', 'engineering', 'architecture', 'became', 'known', 'technological', 'center', 'talamban', 'venture', 'proved', 'fortuitous', 'congestion', 'downtown', 'cebu', 'prodded', 'university', 'develop', 'nearly', 'hectare', 'open', 'space', 'into', 'modern', 'campus', 'these', 'edifice', 'rose', 'their', 'curricular', 'program', 'service', 'support', 'grew', 'dynamically', 'arnoldus', 'science', 'building', 'talamban', 'campus', 'dormitory', 'retreat', 'seminar', 'house', 'anselmo', 'bustos', 'multi', 'purpose', 'hall', 'church', 'talamban', 'later', 'dedicated', 'church', 'arnold', 'joseph', 'science', 'mathematics', 'education', 'building', 'which', 'annex', 'edifice', 'arnoldus', 'science', 'building', 'maintenance', 'calibration', 'workshop', 'art', 'science', 'building', 'later', 'named', 'philip', 'engelen', 'building', 'health', 'science', 'building', 'college', 'nursing', 'college', 'pharmacy', 'general', 'service', 'building', 'college', 'architecture', 'fine', 'art', 'building', 'engineering', 'conference', 'center', 'later', 'named', 'michael', 'richartz', 'building', 'executive', 'house', 'covered', 'court', 'dormitory', 'josef', 'baumgartner', 'learning', 'resource', 'center', 'currently', 'campus', 'undergoing', 'massive', 'landscaping', 'face', 'lifting', 'enhance', 'academic', 'environment', 'downtown', 'campus', 'also', 'been', 'going', 'through', 'massive', 'infrastructure', 'development', 'art', 'division', 'college', 'art', 'science', 'transferred', 'talamban', 'campus', 'since', 'then', 'following', 'structure', 'have', 'been', 'constructed', 'graduate', 'business', 'building', 'wrocklage', 'yard', 'carolinian', 'kolkâ', 'nook', 'language', 'academy', 'more', 'than', 'year', 'administration', 'societas', 'verbi', 'divini', 'university', 'become', 'nationally', 'recognized', 'institution', 'higher', 'education', 'universityâ', 'science', 'technology', 'program', 'administrative', 'apparatus', 'were', 'boosted', 'with', 'netherlandsâ', 'royal', 'government', 'award', 'nine', 'year', 'joint', 'financing', 'program', 'under', 'nuffic', 'from', 'since', 'commission', 'higher', 'education', 'ched', 'awarded', 'full', 'autonomy', 'status', 'university', 'recognition', 'more', 'than', 'academic', 'curricular', 'program', 'likewise', 'paascu', 'conferred', 'level', 'accreditation', 'status', 'several', 'program', 'national', 'board', 'examination', 'university', 'consistent', 'producing', 'topnotchers', 'number', 'topnotchers', 'government', 'licensure', 'examination', 'accountancy', 'architecture', 'chemistry', 'education', 'engineering', 'interior', 'design', 'library', 'science', 'pharmacy', 'continues', 'grow', 'each', 'year', 'research', 'aside', 'from', 'house', 'fund', 'university', 'consistently', 'recipient', 'major', 'research', 'grant', 'from', 'local', 'international', 'external', 'agency', 'commission', 'higher', 'education', 'department', 'science', 'technology', 'minor', 'extent', 'private', 'industry', 'have', 'funded', 'some', 'research', 'project', 'university', 'generated', 'invention', 'have', 'patent', 'application', 'filed', 'ipophl', 'research', 'performance', 'culture', 'literature', 'universityâ', 'cebuano', 'study', 'center', 'awarded', 'region', 'winner', 'ched', 'best', 'higher', 'education', 'research', 'program', 'university', 'carlos', 'taken', 'lead', 'central', 'philippine', 'embracing', 'philippine', 'educational', 'reform', 'agenda', 'institution', 'basic', 'education', 'system', 'possible', 'differentiation', 'higher', 'educational', 'institution', 'into', 'five', 'type', 'divergence', 'accreditation', 'program', 'into', 'those', 'that', 'national', 'international', 'university_carlos', 'university_carlos', 'university_carlos', 'high_school', 'talamban_campus', 'talamban_campus', 'downtown_campus', 'talamban_campus', 'more_than', 'higher_education', 'higher_education', 'more_than', 'higher_education', 'higher_education', 'university_carlos', 'university_carlos', 'divine_word', 'university_carlos', 'colegio_carlos', 'colegio_carlos', 'colegio_carlos', 'colegio_carlos', 'colegio_carlos', 'colegio_carlos', 'have_been', 'university_carlos', 'talamban_campus', 'talamban_campus', 'architecture_fine', 'downtown_campus', 'talamban_campus', 'have_been', 'more_than', 'higher_education', 'higher_education', 'more_than', 'higher_education', 'higher_education', 'university_carlos', 'university_carlos', 'university_carlos', 'university_carlos', 'high_school', 'talamban_campus', 'talamban_campus', 'downtown_campus', 'talamban_campus', 'more_than', 'higher_education', 'higher_education', 'more_than', 'higher_education', 'higher_education', 'university_carlos']",priest later building talamban,3,red,14.232857,-0.13610809,"4: History

The University of San Carlos, administered by the",green
4,5,5,1,5,1,1,University Saints,"['topic', 'university', 'saint', 'three', 'university', 'saint', 'carlos', 'borromeo', 'arnold', 'janssen', 'joseph', 'freinademetz', 'carlos', 'borromeo', 'although', 'owned', 'managed', 'society', 'divine', 'word', 'name', 'carved', 'after', 'saint', 'member', 'this', 'religious', 'congregation', 'charles', 'borromeo', 'whose', 'feast', 'fall', 'november', 'born', 'noble', 'family', 'which', 'produced', 'among', 'others', 'such', 'person', 'pope', 'pius', 'during', 'whose', 'leadership', 'charles', 'became', 'first', 'cardinal', 'romagna', 'then', 'twenty', 'archbishop', 'milan', 'influential', 'churchman', 'time', 'facilitating', 'final', 'deliberation', 'council', 'trent', 'taking', 'large', 'share', 'drafting', 'tridentine', 'catechism', 'bravely', 'attended', 'sick', 'dead', 'victim', 'plague', 'sparing', 'expense', 'avoiding', 'danger', 'effort', 'assist', 'poor', 'played', 'major', 'role', 'against', 'reformation', 'movement', 'most', 'relevant', 'this', 'biographical', 'sketch', 'series', 'activity', 'toward', 'reform', 'collegiate', 'church', 'seminary', 'college', 'community', 'education', 'especially', 'candidate', 'holy', 'order', 'present', 'many', 'catholic', 'school', 'parish', 'over', 'world', 'named', 'after', 'including', 'seminario', 'mayor', 'carlos', 'cebu', 'philippine', 'this', 'make', 'patron', 'seminary', 'reason', 'name', 'adopted', 'when', 'diocese', 'took', 'over', 'school', 'clerical', 'candidate', 'colegio', 'used', 'attached', 'seminario', 'legal', 'consideration', 'necessitated', 'that', 'became', 'autonomous', 'entity', 'secular', 'school', 'from', 'which', 'evolved', 'university', 'carlos', 'charles', 'borromeo', 'rightly', 'venerated', 'saint', 'learning', 'art', 'reformist', 'whose', 'opinion', 'sought', 'both', 'sovereign', 'pope', 'arnold', 'janssen', 'arnold', 'janssen', 'founder', 'society', 'which', 'owns', 'manages', 'university', 'carlos', 'society', 'divine', 'word', 'missionary', 'congregation', 'more', 'than', 'brother', 'priest', 'spread', 'over', 'world', 'which', 'fastest', 'growing', 'religious', 'male', 'congregation', 'catholic', 'church', 'unlike', 'carlos', 'borromeo', 'arnold', 'janssen', 'came', 'from', 'simple', 'family', 'eleven', 'child', 'village', 'goch', 'rhineland', 'germany', 'from', 'dutch', 'border', 'intellectually', 'endowed', 'keen', 'science', 'theology', 'went', 'through', 'usual', 'formation', 'priest', 'young', 'priest', 'became', 'school', 'teacher', 'natural', 'science', 'mathematics', 'bocholt', 'devotee', 'sacred', 'heart', 'jesus', 'named', 'diocesan', 'director', 'apostleship', 'prayer', 'this', 'devotion', 'likewise', 'inspired', 'engage', 'medium', 'work', 'form', 'missionary', 'activity', 'especially', 'through', 'circulation', 'devotional', 'magazine', 'little', 'messenger', 'sacred', 'heart', 'arnoldjanssen', 'what', 'might', 'call', 'accidental', 'religious', 'founder', 'imbued', 'with', 'vision', 'forced', 'circumstance', 'undertake', 'foundation', 'missionary', 'congregation', 'obedience', 'bishop', 'during', 'difficult', 'day', 'kulturkampf', 'knew', 'that', 'whole', 'project', 'would', 'collapse', 'without', 'godâ', 'blessing', 'from', 'zero', 'congregation', 'grew', 'present', 'size', 'like', 'proverbial', 'mustard', 'seed', 'today', 'missionary', 'world', 'divided', 'into', 'zone', 'asia', 'pacific', 'aspac', 'africa', 'madagascar', 'afram', 'america', 'panam', 'europe', 'europa', 'lifetime', 'arnold', 'became', 'providentially', 'founder', 'congregation', 'missionary', 'sister', 'sister', 'holy', 'spirit', 'ssps', 'fondly', 'called', 'blue', 'sister', 'contemplative', 'sister', 'holy', 'spirit', 'perpetual', 'adoration', 'sspsap', 'better', 'known', 'pink', 'sister', 'first', 'missionary', 'were', 'sent', 'founder', 'china', 'last', 'missionary', 'commissioned', 'philippine', 'setting', 'foot', 'abra', 'just', 'before', 'breathed', 'last', 'arnold', 'janssen', 'model', 'only', 'missionary', 'also', 'leader', 'what', 'called', 'manager', 'corporate', 'executive', 'officer', 'definitely', 'ahead', 'time', 'communication', 'medium', 'truly', 'holy', 'dialogical', 'founder', 'leader', 'father', 'joseph', 'freinademetz', 'joseph', 'freinademetz', 'first', 'missionary', 'sent', 'outside', 'germany', 'fact', 'desire', 'mission', 'china', 'that', 'attracted', 'young', 'priest', 'steyl', 'joseph', 'born', 'oies', 'small', 'hamlet', 'dolomite', 'alp', 'northern', 'italy', 'region', 'known', 'south', 'tyrol', 'which', 'then', 'part', 'austro', 'hungarian', 'empire', 'while', 'studying', 'theology', 'diocesan', 'seminary', 'brixen', 'began', 'think', 'seriously', 'foreign', 'mission', 'life', 'young', 'priest', 'only', 'three', 'year', 'already', 'heart', 'parishioner', 'asked', 'permission', 'from', 'bishop', 'join', 'missionary', 'community', 'steyl', 'holland', 'after', 'some', 'year', 'rigorous', 'formation', 'march', 'received', 'mission', 'cross', 'together', 'with', 'anzer', 'departed', 'europe', 'china', 'joseph', 'freinademetz', 'missionary', 'excellence', 'year', 'south', 'shantung', 'were', 'hard', 'year', 'marked', 'long', 'arduous', 'journey', 'assault', 'bandit', 'difficult', 'work', 'forming', 'first', 'christian', 'community', 'learned', 'lesson', 'enculturation', 'hard', 'became', 'true', 'model', 'witness', 'word', 'missionary', 'with', 'traditional', 'outlook', 'when', 'first', 'foot', 'china', 'thought', 'himself', 'imbued', 'with', 'call', 'convert', 'people', 'religion', 'soon', 'discovered', 'that', 'mission', 'actually', 'humbling', 'experience', 'self', 'conversion', 'whole', 'life', 'became', 'effort', 'become', 'chinese', 'among', 'chinese', 'much', 'that', 'word', 'still', 'heard', 'today', 'love', 'china', 'chinese', 'want', 'among', 'them', 'laid', 'rest', 'among', 'them', 'reputed', 'have', 'expressed', 'desire', 'chinese', 'even', 'heaven', 'together', 'with', 'founder', 'arnold', 'janssen', 'beatified', 'pope', 'paul', 'october', 'canonized', 'pope', 'john', 'paul', 'october', 'university_carlos', 'university_carlos', 'more_than', 'witness_word', 'arnold_janssen', 'joseph_freinademetz', 'society_divine', 'university_carlos', 'arnold_janssen', 'arnold_janssen', 'university_carlos', 'society_divine', 'more_than', 'arnold_janssen', 'arnold_janssen', 'joseph_freinademetz', 'joseph_freinademetz', 'joseph_freinademetz', 'witness_word', 'arnold_janssen', 'university_carlos', 'university_carlos', 'more_than', 'witness_word']",missionary arnold priest joseph,3,red,14.65533,-0.51192075,"5: University Saints

The three university saints are San Carlos",green
